,2_1 - Inside Sales - Sales Insight
Survey_Admin__c-Survey Admin Layout,recordType=
Survey_Question__c-Survey Question Layout,recordType=
Survey_Submission_Response__c-Survey Submission Response Layout,recordType=
Survey_Submission__c-Survey Submission Layout,recordType=
TC_Opp_Assoc__c-TC Opp Assoc Layout,recordType=
TC_Status__c-TC Status Layout,recordType=
TC_Technology__c-TC Technology Layout,recordType=
Task-ACR,recordType=Task.ACR
Task-AMR_EAR_APR,recordType=Task.AMR_EAR_APR
Task-Default,recordType=Task.Default
Task-Default,recordType=
Task-EAR,recordType=Task.EAR
Task-SSG,recordType=Task.SSG
Technical_Campaign__c-Technical Campaign Layout,recordType=
Technical_Engagement__c-Technical Engagement Layout,recordType=
TempUpdateObject__c-TempUpdateObject Layout,recordType=
Temp_Attachment__c-Temp Attachment Layout,recordType=
Temp_Key_Region_OptIn__c-Temp Key Region OptIn Layout,recordType=
Term_Processed__c-Term Processed Layout,recordType=
URL_Mapping__c-URL Mapping Layout,recordType=
Uplift__c-Uplift Layout,recordType=
User-User Layout,recordType=
UserAlt-User Profile Layout,recordType=
User_Availability_History__c-User Availability History Layout,recordType=
User_Email_Address_Table__c-User Email Address Table Layout,recordType=
User_Folder__c-User Folder Layout,recordType=
User_Microsite_Map__c-User Microsite Map Layout,recordType=
User_Preference_Detail__c-User Preference Detail Layout,recordType=
User_Preference__c-User Preference Layout,recordType=
User_Role__c-User Role Layout,recordType=
Weekly_Buisness_Status__c-Weekly Buisness Status Layout,recordType=
gss_acc_discrepancy__c-gss_acc_discrepancy Layout,recordType=
myobj__c-myobj Layout,recordType=
